max_points,num_clusters,Run_Time,m,lowers,uppers,budgetViolation,perClusterVio,worstPossibleFairVio,objective,FairType,name,num_colors
1000,5,2.4523373120000542,[0.005],"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]","(0.47245343478261953,)","([0, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953],)",0.47245343478261953,31.82878824168397,FairType.DET,diabetes,2
3000,5,5.682537575999959,[0.005],"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]","(0.47245343478261953,)","([0, 0.47245343478261953, 0.47245343478261953, 0.4721647342995242, 0.47245343478261953],)",0.47245343478261953,33.00646528507572,FairType.DET,diabetes,2
5000,5,9.96338927800025,[0.005],"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]","(0.47245343478261953,)","([0, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.4721647342995242],)",0.47245343478261953,70.80293427616218,FairType.DET,diabetes,2
7000,5,20.751048128000093,[0.005],"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]","(0.47245343478261953,)","([0, 0.47245343478261953, 0.47245343478261953, 0.4721647342995242, 0.47245343478261953],)",0.47245343478261953,48.46930983207296,FairType.DET,diabetes,2
9000,5,29.762751840999954,[0.005],"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]","(0.47245343478261953,)","([0, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.4721647342995242],)",0.47245343478261953,54.92143377283435,FairType.DET,diabetes,2
11000,5,34.494973268000194,[0.005],"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]","(0.47245343478261953,)","([0, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953],)",0.47245343478261953,60.653440313739324,FairType.DET,diabetes,2
13000,5,36.061735494000004,[0.005],"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]","(0.47245343478261953,)","([0, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.4721647342995242],)",0.47245343478261953,65.93765814017415,FairType.DET,diabetes,2
15000,5,43.84772986400003,[0.005],"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]","(0.47245343478261953,)","([0, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953],)",0.47245343478261953,70.8413963416521,FairType.DET,diabetes,2
17000,5,60.87746965300039,[0.005],"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]","(0.47245343478261953,)","([0, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953],)",0.47245343478261953,75.34752333628148,FairType.DET,diabetes,2
19000,5,93.15274518100023,[0.005],"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]","(0.47245343478261953,)","([0, 0.47245343478261953, 0.47245343478261953, 0.4721647342995242, 0.47245343478261953],)",0.47245343478261953,97.87615408425867,FairType.DET,diabetes,2
21000,5,144.1241678030001,[0.005],"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]","(0.47245343478261953,)","([0, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.4721647342995242],)",0.47245343478261953,84.06394525465495,FairType.DET,diabetes,2
23000,5,142.77035132899982,[0.005],"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]","(0.47245343478261953,)","([0, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.4721647342995242],)",0.47245343478261953,87.96554871229446,FairType.DET,diabetes,2
