num_clusters,POF,MaxViolFair,MaxViolUnFair,Fair Balance,UnFair Balance,Run_Time,ColorBlindCost,FairCost,m,lowers,uppers,budgetViolation,perClusterVio,worstPossibleFairVio,objective,FairType,name,num_colors
10,-1,-1,-1,-1,-1,34.64553840999906,-1,20.561887830579238,0.001,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.0028515504115086965,"[0, 0.0028515504115086965]",0.5640760402074271,20.561887830579238,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,42.244597957000224,-1,21.54832861293143,0.002,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.0022203701043342905,"[0, 0.0022203701043342905]",0.5640760402074271,21.54832861293143,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,38.98571547699976,-1,21.995920988336827,0.003,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.0015760402074270763,"[0, 0.0015760402074270763]",0.5640760402074271,21.995920988336827,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,36.108503915000256,-1,22.346815237394043,0.004,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.0008659749995516552,"[0, 0.0008659749995516552]",0.5640760402074271,22.346815237394043,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,48.78520743300032,-1,22.55797811747808,0.005,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.0006016526795874499,"[0, 0.0006016526795874499]",0.5640760402074271,22.55797811747808,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,51.62680783099859,-1,22.731948302810085,0.006,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.0007732879138491189,"[0, 0.0007732879138491189]",0.5640760402074271,22.731948302810085,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,46.622306848001244,-1,22.847934411878942,0.007,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.000673150961841229,"[0, 0.000673150961841229]",0.5640760402074271,22.847934411878942,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,47.058290612001656,-1,22.99179398112015,0.008,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.0009692440909221944,"[0, 0.0009692440909221944]",0.5640760402074271,22.99179398112015,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,42.31843578400003,-1,23.087583326268074,0.009000000000000001,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.00038226225050724816,"[0, 0.00038226225050724816]",0.5640760402074271,23.087583326268074,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,39.000899832999494,-1,23.165804551051913,0.01,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.00045996877885562393,"[0, 0.00045996877885562393]",0.5640760402074271,23.165804551051913,FairType.ROBUST,bank_binary_marital,2
