num_clusters,POF,MaxViolFair,MaxViolUnFair,Fair Balance,UnFair Balance,Run_Time,ColorBlindCost,FairCost,m,lowers,uppers,budgetViolation,perClusterVio,worstPossibleFairVio,objective,FairType,name,num_colors
10,-1,-1,-1,-1,-1,40.37228744300046,-1,20.110041169312186,0.001,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0,"[0, 0]",0.5640760402074271,20.110041169312186,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,48.232873500001006,-1,21.13030549501436,0.002,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.004531284144312864,"[0, 0.004531284144312864]",0.5640760402074271,21.13030549501436,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,51.249694369998906,-1,21.58219986647147,0.003,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.0015910903588133296,"[0, 0.0015910903588133296]",0.5640760402074271,21.58219986647147,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,42.1352695709993,-1,22.007914577438395,0.004,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.001142930400181985,"[0, 0.001142930400181985]",0.5640760402074271,22.007914577438395,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,42.396253410999634,-1,22.182594982478744,0.005,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.0010261868349930592,"[0, 0.0010261868349930592]",0.5640760402074271,22.182594982478744,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,52.85192100399945,-1,22.397015619081262,0.006,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.0007800700236711422,"[0, 0.0007800700236711422]",0.5640760402074271,22.397015619081262,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,48.19810406100078,-1,22.55797811747808,0.007,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.0009068753252001183,"[0, 0.0009068753252001183]",0.5640760402074271,22.55797811747808,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,44.98284112900001,-1,22.68123842731072,0.008,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0,"[0, 0]",0.5640760402074271,22.68123842731072,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,48.04499342199961,-1,22.783368450363245,0.009000000000000001,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.0011621329226588761,"[0, 0.0011621329226588761]",0.5640760402074271,22.783368450363245,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,42.11452508699949,-1,22.872740665907248,0.01,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.0004603687989974681,"[0, 0.0004603687989974681]",0.5640760402074271,22.872740665907248,FairType.ROBUST,bank_binary_marital,2
