num_clusters,POF,MaxViolFair,MaxViolUnFair,Fair Balance,UnFair Balance,Run_Time,ColorBlindCost,FairCost,m,lowers,uppers,budgetViolation,perClusterVio,worstPossibleFairVio,objective,FairType,name,num_colors
10,-1,-1,-1,-1,-1,33.90906006699879,-1,20.259672357149057,0.001,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.005634481765868615,"[0, 0.005634481765868615]",0.5640760402074271,20.259672357149057,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,48.63407521100089,-1,21.246784023832735,0.002,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.004531284144312864,"[0, 0.004531284144312864]",0.5640760402074271,21.246784023832735,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,49.56078592800077,-1,21.690405035855996,0.003,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.0015910903588133296,"[0, 0.0015910903588133296]",0.5640760402074271,21.690405035855996,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,55.91451517200039,-1,22.06963353042862,0.004,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.001142930400181985,"[0, 0.001142930400181985]",0.5640760402074271,22.06963353042862,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,41.94400055799997,-1,22.293559580002633,0.005,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.0010261868349930592,"[0, 0.0010261868349930592]",0.5640760402074271,22.293559580002633,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,55.22448491199975,-1,22.47738258070543,0.006,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.0006614060610856121,"[0, 0.0006614060610856121]",0.5640760402074271,22.47738258070543,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,47.23133783799858,-1,22.629054493719774,0.007,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.0009068753252001183,"[0, 0.0009068753252001183]",0.5640760402074271,22.629054493719774,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,44.296831276000376,-1,22.778684857054476,0.008,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.0007732879138491189,"[0, 0.0007732879138491189]",0.5640760402074271,22.778684857054476,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,45.67833184700066,-1,22.85347501511876,0.009000000000000001,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.00043967657106341873,"[0, 0.00043967657106341873]",0.5640760402074271,22.85347501511876,FairType.ROBUST,bank_binary_marital,2
10,-1,-1,-1,-1,-1,36.50054064200049,-1,22.96300947699534,0.01,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]",0.0009259659132220266,"[0, 0.0009259659132220266]",0.5640760402074271,22.96300947699534,FairType.ROBUST,bank_binary_marital,2
