m,budgetViolation,per_cluster_vio,worstPossibleFairVio,objective,FairType,name,num_colors
0.01,0.581470641428572,"[0, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572]",0.581470641428572,27.33257187984139,FairType.DET,census1990_ss_age_3_classes,3
0.020000000000000004,0.581470641428572,"[0, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572]",0.581470641428572,27.33257187984139,FairType.DET,census1990_ss_age_3_classes,3
0.030000000000000006,0.581470641428572,"[0, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572]",0.581470641428572,27.33257187984139,FairType.DET,census1990_ss_age_3_classes,3
0.04000000000000001,0.581470641428572,"[0, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572]",0.581470641428572,27.33257187984139,FairType.DET,census1990_ss_age_3_classes,3
0.05000000000000001,0.581470641428572,"[0, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572]",0.581470641428572,27.33257187984139,FairType.DET,census1990_ss_age_3_classes,3
0.06000000000000001,0.581470641428572,"[0, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572]",0.581470641428572,27.33257187984139,FairType.DET,census1990_ss_age_3_classes,3
0.07,0.581470641428572,"[0, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572]",0.581470641428572,27.33257187984139,FairType.DET,census1990_ss_age_3_classes,3
0.08,0.581470641428572,"[0, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572]",0.581470641428572,27.33257187984139,FairType.DET,census1990_ss_age_3_classes,3
0.09000000000000001,0.581470641428572,"[0, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572]",0.581470641428572,27.33257187984139,FairType.DET,census1990_ss_age_3_classes,3
0.1,0.581470641428572,"[0, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572, 0.581470641428572]",0.581470641428572,27.33257187984139,FairType.DET,census1990_ss_age_3_classes,3
