m,budgetViolation,per_cluster_vio,worstPossibleFairVio,objective,FairType,name,num_colors
0.01,0.4445412740544238,"[0, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.25992749883261745, 0.43770527661039527, 0.4445412740544238, 0.09604840743198406]",0.4445412740544238,9.871214195838213,FairType.DET,bank_binary_marital,2
0.020000000000000004,0.4445412740544238,"[0, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.4445412740544238, 0.18979840743198406]",0.4445412740544238,9.871214195838213,FairType.DET,bank_binary_marital,2
0.030000000000000006,0.4445412740544238,"[0, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.4445412740544238, 0.25229840743198406]",0.4445412740544238,9.871214195838213,FairType.DET,bank_binary_marital,2
0.04000000000000001,0.4445412740544238,"[0, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.4445412740544238, 0.25229840743198406]",0.4445412740544238,9.871214195838213,FairType.DET,bank_binary_marital,2
0.05000000000000001,0.4445412740544238,"[0, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.4445412740544238, 0.25229840743198406]",0.4445412740544238,9.871214195838213,FairType.DET,bank_binary_marital,2
0.06000000000000001,0.4445412740544238,"[0, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.4445412740544238, 0.25645527661039524]",0.4445412740544238,9.871214195838213,FairType.DET,bank_binary_marital,2
0.07,0.4445412740544238,"[0, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.4445412740544238, 0.35020527661039524]",0.4445412740544238,9.871214195838213,FairType.DET,bank_binary_marital,2
0.08,0.4445412740544238,"[0, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.4445412740544238, 0.43770527661039527]",0.4445412740544238,9.871214195838213,FairType.DET,bank_binary_marital,2
0.09000000000000001,0.4445412740544238,"[0, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.4445412740544238, 0.43770527661039527]",0.4445412740544238,9.871214195838213,FairType.DET,bank_binary_marital,2
0.1,0.4445412740544238,"[0, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.43770527661039527, 0.4445412740544238, 0.43770527661039527]",0.4445412740544238,9.871214195838213,FairType.DET,bank_binary_marital,2
