m,noise_model,violation,objective,num_colors,per_cluster_vio,worst_possible_fair_vio,fair_type,dataset,lowers,uppers
0.001,color_0_gains_more,0.005634481765868615,20.259672357149057,2,"[0, 0.005634481765868615]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.002,color_0_gains_more,0.004531284144312864,21.246784023832735,2,"[0, 0.004531284144312864]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.003,color_0_gains_more,0.0015910903588133296,21.690405035855996,2,"[0, 0.0015910903588133296]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.004,color_0_gains_more,0.001142930400181985,22.06963353042862,2,"[0, 0.001142930400181985]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.005,color_0_gains_more,0.0010261868349930592,22.293559580002633,2,"[0, 0.0010261868349930592]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.006,color_0_gains_more,0.0006614060610856121,22.47738258070543,2,"[0, 0.0006614060610856121]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.007,color_0_gains_more,0.0009068753252001183,22.629054493719774,2,"[0, 0.0009068753252001183]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.008,color_0_gains_more,0.0007732879138491189,22.778684857054476,2,"[0, 0.0007732879138491189]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.009000000000000001,color_0_gains_more,0.00043967657106341873,22.85347501511876,2,"[0, 0.00043967657106341873]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.01,color_0_gains_more,0.0009259659132220266,22.96300947699534,2,"[0, 0.0009259659132220266]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
