num_clusters,Run_Time,m,lowers,uppers,budgetViolation,perClusterVio,worstPossibleFairVio,objective,FairType,name,num_colors
10,670.7678933500001,0.01,"[0.1693622769570959, 0.29476828414339784, 0.148051506403366]","[0.4408925128561553, 0.6070200205426396, 0.41852935857142803]",0.00016082974212899837,"[0, 0.00016082974212899837, 0.00015301314404800315, 9.434654616649607e-05, 0.00015301314404800315, 0.00016082974212899837]",0.581470641428572,28.550263235863206,FairType.ROBUST,census1990_ss_age_3_classes,3
10,412.23222244500084,0.020000000000000004,"[0.1693622769570959, 0.29476828414339784, 0.148051506403366]","[0.4408925128561553, 0.6070200205426396, 0.41852935857142803]",0.00016082974212899837,"[0, 0.00012368566174394968, 0.00012368566174394968, 5.220558516885743e-05, 0.00016082974212899837]",0.581470641428572,30.804596651004292,FairType.ROBUST,census1990_ss_age_3_classes,3
10,323.1562064210002,0.030000000000000006,"[0.1693622769570959, 0.29476828414339784, 0.148051506403366]","[0.4408925128561553, 0.6070200205426396, 0.41852935857142803]",0.0,[0],0.581470641428572,31.68297579878914,FairType.ROBUST,census1990_ss_age_3_classes,3
10,250.705148817,0.04000000000000001,"[0.1693622769570959, 0.29476828414339784, 0.148051506403366]","[0.4408925128561553, 0.6070200205426396, 0.41852935857142803]",0.0,[0],0.581470641428572,31.68297579878914,FairType.ROBUST,census1990_ss_age_3_classes,3
10,253.15146013900085,0.05000000000000001,"[0.1693622769570959, 0.29476828414339784, 0.148051506403366]","[0.4408925128561553, 0.6070200205426396, 0.41852935857142803]",0.0,[0],0.581470641428572,31.68297579878914,FairType.ROBUST,census1990_ss_age_3_classes,3
10,233.6086203499999,0.06000000000000001,"[0.1693622769570959, 0.29476828414339784, 0.148051506403366]","[0.4408925128561553, 0.6070200205426396, 0.41852935857142803]",0.0,[0],0.581470641428572,31.68297579878914,FairType.ROBUST,census1990_ss_age_3_classes,3
10,234.57240625099985,0.07,"[0.1693622769570959, 0.29476828414339784, 0.148051506403366]","[0.4408925128561553, 0.6070200205426396, 0.41852935857142803]",0.0,[0],0.581470641428572,31.68297579878914,FairType.ROBUST,census1990_ss_age_3_classes,3
10,233.2051009629995,0.08,"[0.1693622769570959, 0.29476828414339784, 0.148051506403366]","[0.4408925128561553, 0.6070200205426396, 0.41852935857142803]",0.0,[0],0.581470641428572,31.68297579878914,FairType.ROBUST,census1990_ss_age_3_classes,3
10,234.06696462700074,0.09000000000000001,"[0.1693622769570959, 0.29476828414339784, 0.148051506403366]","[0.4408925128561553, 0.6070200205426396, 0.41852935857142803]",0.0,[0],0.581470641428572,31.68297579878914,FairType.ROBUST,census1990_ss_age_3_classes,3
10,234.9674835349997,0.1,"[0.1693622769570959, 0.29476828414339784, 0.148051506403366]","[0.4408925128561553, 0.6070200205426396, 0.41852935857142803]",0.0,[0],0.581470641428572,31.68297579878914,FairType.ROBUST,census1990_ss_age_3_classes,3
