max_points,num_clusters,Run_Time,m,lowers,uppers,budgetViolation,perClusterVio,worstPossibleFairVio,objective,FairType,name,num_colors
1000,10,10.080907100000331,0.005,"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]",0.005786768115952856,"[0, 0.005354106280193227, 0.005786768115952856, 0.005786768115952856, 0.005786768115952856, 0.005354106280193227]",0.47245343478261953,32.05895582143501,FairType.ROBUST,diabetes,2
3000,10,25.35262113399949,0.005,"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]",0.002083064412249147,"[0, 0.002083064412249147, 0.002083064412249147, 0.001650402576489518, 0.001650402576489518, 0.002083064412249147, 0.001650402576489518, 0.001650402576489518, 0.001650402576489518]",0.47245343478261953,32.44006563681393,FairType.ROBUST,diabetes,2
5000,10,35.488396718999866,0.005,"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]",0.000909661835748754,"[0, 0.000909661835748754]",0.47245343478261953,70.9286155167545,FairType.ROBUST,diabetes,2
7000,10,52.287663502000214,0.005,"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]",0.0010248633540481111,"[0, 0.0005922015182884266, 0.0010248633540481111]",0.47245343478261953,59.329132104257226,FairType.ROBUST,diabetes,2
9000,10,85.04071984099937,0.005,"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]",0.0008484965110145959,"[0, 0.00041583467525491136, 0.0008484965110145959, 0.00041583467525491136]",0.47245343478261953,67.35358420135262,FairType.ROBUST,diabetes,2
11000,10,161.725220757,0.005,"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]",0.0007362630654478286,"[0, 0.0002031825121856512, 0.00030360122968814407, 0.0002031825121856512, 0.00030360122968814407, 0.00030360122968814407, 0.0007362630654478286]",0.47245343478261953,60.78280851805235,FairType.ROBUST,diabetes,2
13000,10,146.13953679599945,0.005,"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]",0.0006585629877477461,"[0, 0.0002259011519880616, 0.0006585629877477461, 0.0002259011519880616, 0.0002259011519880616, 0.00020749114470319796]",0.47245343478261953,66.286272423072,FairType.ROBUST,diabetes,2
15000,10,165.6555643540014,0.005,"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]",0.0006015829307676746,"[0, 0.00016892109500804553, 0.0006015829307676746, 0.00021065165900741034]",0.47245343478261953,71.12926368942847,FairType.ROBUST,diabetes,2
17000,10,171.93022216399913,0.005,"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]",0.0002130690086156184,"[0, 0.00012534811025854964, 0.0002130690086156184, 0.00012534811025854964]",0.47245343478261953,75.68639694095974,FairType.ROBUST,diabetes,2
19000,10,166.51199085699955,0.005,"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]",0.00021497773995443614,"[0, 9.094838545636863e-05, 0.00021497773995443614]",0.47245343478261953,102.01527739099598,FairType.ROBUST,diabetes,2
21000,10,356.65406947700103,0.005,"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]",0.0002833030602625297,"[0, 0.0002833030602625297, 0.00021652309568137573, 0.00021652309568137573, 6.310098918793638e-05, 6.310098918793638e-05]",0.47245343478261953,84.0157286552819,FairType.ROBUST,diabetes,2
23000,10,356.95019544800016,0.005,"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]",0.00024117103688614527,"[0, 0.00021779982366249007, 4.009661835746581e-05, 4.009661835746581e-05, 0.00024117103688614527]",0.47245343478261953,89.33394120816241,FairType.ROBUST,diabetes,2
